item_id,user_id,timestamp
10924,1,1417965832000
6461,1,1465731241000
11433,2,1315799048000
2032,2,1415342814000
6373,2,1479158847000
2656,3,1416932236000
2762,3,1416932344000
13214,3,1416932470000
2310,3,1505850571166
11570,3,1511840019576
7704,3,1525978745541
8619,3,1529179820106
2140,3,1553131475534
1605,5,1564182116671
5075,5,1593185806880
4613,6,1562538769905
6081,6,1562539487526
1269,6,1562540573459
6625,6,1562541101790
9102,6,1562542425115
9962,6,1562543322649
789,6,1562543360301
11483,6,1577209802211
7198,6,1577209932171
8475,6,1577210571842
13292,6,1577210884031
4406,6,1577473855805
526,7,1505776809090
8525,7,1505776981523
4114,7,1505777036878
65,7,1505777095114
4290,7,1505777267037
11569,7,1505777543256
6971,7,1505777632781
2784,7,1507082069745
2463,7,1507418464702
10963,7,1507418582522
4111,7,1536521607493
9867,8,1446529198000
12990,8,1458693571000
8626,8,1528928734002
6350,8,1528929426854
2403,8,1552790506668
4243,9,1420933538000
7707,9,1599218231689
7514,10,1424742856000
3524,10,1440730890000
1776,10,1464845631000
9164,10,1497939520063
5160,10,1511909939363
6892,11,1499701957254
908,11,1563922602965
12744,11,1563923312786
3487,11,1563923793913
65,11,1563924199078
3221,12,1411629914000
7710,13,1558009659999
6025,13,1558009788028
36,13,1560220306853
12680,14,1510865583550
5608,14,1510865762052
3122,14,1510865873057
6860,15,1416413260000
240,15,1416413355000
8768,15,1416414290000
5844,15,1416414326000
8240,15,1416414403000
13029,15,1416414485000
11062,15,1416414501000
12026,16,1532784392315
6262,17,1544490851807
1948,17,1580212379551
1067,17,1580546139673
4084,18,1392063613000
9477,18,1392067041000
2410,18,1411451720000
4212,18,1411452206000
719,18,1423423387000
1407,19,1481142482000
1708,19,1485955939000
9409,19,1485956525000
4425,19,1486222788000
9880,20,1452980955000
1826,20,1559099197874
8421,20,1560045729607
4448,20,1560045946331
12990,20,1593409474820
9098,21,1362530922000
8703,21,1366637876000
4719,21,1418235617000
5303,21,1462799023000
11503,21,1513283023039
4679,21,1527085508252
12855,21,1529794064417
13160,21,1529794498480
3491,21,1532471754978
3895,21,1546360262757
4774,21,1552856511929
4077,21,1552856618355
8744,21,1561245116794
2689,22,1347367155000
1429,22,1374797043000
8627,22,1441133082000
5966,22,1454167423000
3005,22,1510771243488
5544,23,1502404994524
7617,23,1502405614586
13301,23,1502405693064
1012,23,1502405944737
12875,25,1463495284000
5866,25,1547038790795
3697,26,1446572988000
8223,26,1461416440000
9383,26,1461417522000
8355,26,1461417553000
12030,26,1485360244000
1189,26,1508524834707
11363,26,1511839251191
12027,27,1468149801000
11433,27,1468154448000
1085,27,1489523127000
3259,27,1527410251452
448,27,1527410306277
12200,27,1562794928943
4838,27,1567732411252
10997,27,1588013203943
11024,27,1591890458023
5787,28,1472327907000
4376,28,1472328863000
1640,28,1519318898666
10591,28,1576090686327
1374,28,1582094463185
12192,28,1582610002962
10115,28,1582614397610
10873,28,1583375633421
7814,28,1586740467606
997,28,1587442194329
5422,29,1395758584000
1220,29,1489287973000
8113,29,1519146629270
10172,29,1534204584147
375,29,1534204644902
10712,29,1534204689542
9266,29,1545320896890
6243,29,1569113932072
4067,30,1570588534615
12153,30,1571012616250
6665,32,1426434062000
12733,32,1426434083000
10066,32,1447030736000
3051,32,1544750650655
11871,33,1468548189000
3217,33,1475555652000
2845,33,1489451377000
3032,33,1499999550946
1195,33,1525961249737
8527,33,1577386286142
8336,34,1381772935000
5282,34,1381772937000
1457,34,1401130639000
3017,34,1401135077000
11115,34,1411948117000
12474,35,1510270734704
4083,35,1512125190002
7005,35,1514121140478
3972,35,1515446010546
5179,35,1520179074429
6834,35,1520179104184
4387,35,1534816681273
10581,35,1590985632319
8660,36,1380853791000
10155,36,1403628699000
